pl_name,pl_orbper,pl_orbsmax,pl_rade,pl_masse,pl_dens,pl_insol,pl_eqt,rowupdate,pl_pubdate,releasedate
LHS 1678 c,3.69428400,0.032700,0.941,,,13.50,,2024-03-25,2024-02,2024-03-25
LHS 1678 d,4.96522290,0.040000,0.981,,,9.10,,2024-03-25,2024-02,2024-03-25
GJ 1214 b,1.58040453,0.015050,2.733,8.41000,2.26000,17.20,567,2024-03-25,2024-03,2024-03-25
HD 77946 b,6.52728200,0.072000,2.705,8.38000,2.48113,,,2024-03-25,2024-03,2024-03-25
NGC 2682 Sand 1429 b,77.48000000,0.384000,,,,,683,2024-03-25,2024-03,2024-03-25
TOI-4438 b,7.44628000,0.053400,2.520,5.40000,1.85000,6.00,435,2024-03-25,2024-03,2024-03-25
HS Psc b,3.98600000,0.043500,,,,,,2024-03-12,2024-03,2024-03-12
TOI-4201 b,3.58192320,0.039440,12.690,825.00000,2.22000,49.60,739,2024-03-10,2024-02,2024-03-10
TOI-4515 b,15.26644600,0.118000,12.170,637.00000,1.94100,,705,2024-03-10,2024-02,2024-03-10
TOI-1994 b,4.03371420,0.061300,13.675,7024.00779,15.00000,,2290,2024-03-10,2024-03,2024-03-10
HD 136352 d,,,1.621,,,335.61,1092,2024-03-06,2017-07,2024-03-06
LHS 1678 d,4.96520686,,0.857,,,10.86,463,2024-03-06,2017-07,2024-03-06
TOI-178 e,9.96156720,,2.149,,,35.73,681,2024-03-06,2017-07,2024-03-06
TOI-2373 b,13.33681730,,11.245,,,69.87,805,2024-03-06,2017-07,2024-03-06
TOI-2416 b,8.27546080,,11.545,,,130.93,942,2024-03-06,2017-07,2024-03-06
TOI-2524 b,7.18581300,,13.161,,,210.61,1061,2024-03-06,2017-07,2024-03-06
TOI-3884 b,4.54455690,,5.718,,,5.66,429,2024-03-06,2017-07,2024-03-06
TOI-815 c,734.49877020,,2.184,,,9.04,483,2024-03-06,2017-07,2024-03-06
TOI-1135 b,8.02773000,0.082000,9.020,51.42000,0.41000,,1199,2024-03-05,2024-02,2024-03-05
TOI-1199 b,3.67146300,0.049880,10.514,75.96099,0.35800,,1486,2024-03-05,2024-02,2024-03-05
TOI-1273 b,4.63129600,0.054900,11.097,70.55791,0.28000,,1211,2024-03-05,2024-02,2024-03-05
Teegarden's Star b,4.90634000,0.025900,,,,1.08,277,2024-03-05,2024-02,2024-03-05
Teegarden's Star c,11.41600000,0.045500,,,,0.35,209,2024-03-05,2024-02,2024-03-05
Teegarden's Star d,26.13000000,0.079100,,,,0.12,159,2024-03-05,2024-02,2024-03-05
55 Cnc e,0.73654625,,,,,,,2024-03-04,2023-03,2024-03-04
CoRoT-11 b,2.99427803,,,,,,,2024-03-04,2023-03,2024-03-04
CoRoT-19 b,3.89713790,,,,,,,2024-03-04,2023-03,2024-03-04
CoRoT-2 b,1.74299705,,,,,,,2024-03-04,2023-03,2024-03-04
EPIC 211945201 b,19.49214980,,,,,,,2024-03-04,2023-03,2024-03-04
EPIC 246851721 b,6.18026790,,,,,,,2024-03-04,2023-03,2024-03-04
G 9-40 b,5.74599960,,,,,,,2024-03-04,2023-03,2024-03-04
GJ 1132 b,1.62893040,,,,,,,2024-03-04,2023-03,2024-03-04
GJ 1214 b,1.58040457,,,,,,,2024-03-04,2023-03,2024-03-04
GJ 1252 b,0.51824640,,,,,,,2024-03-04,2023-03,2024-03-04
GJ 3470 b,3.33665240,,,,,,,2024-03-04,2023-03,2024-03-04
GJ 357 b,3.93062300,,,,,,,2024-03-04,2023-03,2024-03-04
GJ 436 b,2.64389762,,,,,,,2024-03-04,2023-03,2024-03-04
GJ 9827 b,1.20897490,,,,,,,2024-03-04,2023-03,2024-03-04
GJ 9827 c,3.64811450,,,,,,,2024-03-04,2023-03,2024-03-04
HAT-P-1 b,4.46529913,,,,,,,2024-03-04,2023-03,2024-03-04
HAT-P-11 b,4.88780201,,,,,,,2024-03-04,2023-03,2024-03-04
HAT-P-12 b,3.21305762,,,,,,,2024-03-04,2023-03,2024-03-04
HAT-P-13 b,2.91624268,,,,,,,2024-03-04,2023-03,2024-03-04
HAT-P-14 b,4.62766098,,,,,,,2024-03-04,2023-03,2024-03-04
HAT-P-15 b,10.86345165,,,,,,,2024-03-04,2023-03,2024-03-04
HAT-P-16 b,2.77596748,,,,,,,2024-03-04,2023-03,2024-03-04
HAT-P-17 b,10.33853522,,,,,,,2024-03-04,2023-03,2024-03-04
HAT-P-18 b,5.50802941,,,,,,,2024-03-04,2023-03,2024-03-04
HAT-P-19 b,4.00878423,,,,,,,2024-03-04,2023-03,2024-03-04
HAT-P-2 b,5.63346785,,,,,,,2024-03-04,2023-03,2024-03-04
HAT-P-20 b,2.87531773,,,,,,,2024-03-04,2023-03,2024-03-04
HAT-P-21 b,4.12448852,,,,,,,2024-03-04,2023-03,2024-03-04
HAT-P-22 b,3.21223218,,,,,,,2024-03-04,2023-03,2024-03-04
HAT-P-23 b,1.21288640,,,,,,,2024-03-04,2023-03,2024-03-04
HAT-P-24 b,3.35524439,,,,,,,2024-03-04,2023-03,2024-03-04
HAT-P-25 b,3.65281524,,,,,,,2024-03-04,2023-03,2024-03-04
HAT-P-26 b,4.23450020,,,,,,,2024-03-04,2023-03,2024-03-04
HAT-P-27 b,3.03957804,,,,,,,2024-03-04,2023-03,2024-03-04
HAT-P-28 b,3.25721296,,,,,,,2024-03-04,2023-03,2024-03-04
HAT-P-29 b,5.72336850,,,,,,,2024-03-04,2023-03,2024-03-04
HAT-P-3 b,2.89973815,,,,,,,2024-03-04,2023-03,2024-03-04
HAT-P-30 b,2.81060097,,,,,,,2024-03-04,2023-03,2024-03-04
HAT-P-31 b,5.00527020,,,,,,,2024-03-04,2023-03,2024-03-04
HAT-P-32 b,2.15000820,,,,,,,2024-03-04,2023-03,2024-03-04
HAT-P-33 b,3.47447703,,,,,,,2024-03-04,2023-03,2024-03-04
HAT-P-34 b,5.45264682,,,,,,,2024-03-04,2023-03,2024-03-04
HAT-P-35 b,3.64665840,,,,,,,2024-03-04,2023-03,2024-03-04
HAT-P-36 b,1.32734681,,,,,,,2024-03-04,2023-03,2024-03-04
HAT-P-37 b,2.79744256,,,,,,,2024-03-04,2023-03,2024-03-04
HAT-P-38 b,4.64032787,,,,,,,2024-03-04,2023-03,2024-03-04
HAT-P-39 b,3.54387370,,,,,,,2024-03-04,2023-03,2024-03-04
HAT-P-4 b,3.05652301,,,,,,,2024-03-04,2023-03,2024-03-04
HAT-P-40 b,4.45721840,,,,,,,2024-03-04,2023-03,2024-03-04
HAT-P-41 b,2.69404968,,,,,,,2024-03-04,2023-03,2024-03-04
HAT-P-42 b,4.64183885,,,,,,,2024-03-04,2023-03,2024-03-04
HAT-P-43 b,3.33268054,,,,,,,2024-03-04,2023-03,2024-03-04
HAT-P-44 b,4.30119043,,,,,,,2024-03-04,2023-03,2024-03-04
HAT-P-45 b,3.12899506,,,,,,,2024-03-04,2023-03,2024-03-04
HAT-P-46 b,4.46313574,,,,,,,2024-03-04,2023-03,2024-03-04
HAT-P-49 b,2.69155536,,,,,,,2024-03-04,2023-03,2024-03-04
HAT-P-5 b,2.78847323,,,,,,,2024-03-04,2023-03,2024-03-04
HAT-P-50 b,3.12200511,,,,,,,2024-03-04,2023-03,2024-03-04
HAT-P-51 b,4.21802122,,,,,,,2024-03-04,2023-03,2024-03-04
HAT-P-52 b,2.75359760,,,,,,,2024-03-04,2023-03,2024-03-04
HAT-P-53 b,1.96162371,,,,,,,2024-03-04,2023-03,2024-03-04
HAT-P-54 b,3.79985297,,,,,,,2024-03-04,2023-03,2024-03-04
HAT-P-55 b,3.58523207,,,,,,,2024-03-04,2023-03,2024-03-04
HAT-P-56 b,2.79082500,,,,,,,2024-03-04,2023-03,2024-03-04
HAT-P-57 b,2.46529488,,,,,,,2024-03-04,2023-03,2024-03-04
HAT-P-59 b,4.14197760,,,,,,,2024-03-04,2023-03,2024-03-04
HAT-P-6 b,3.85299668,,,,,,,2024-03-04,2023-03,2024-03-04
HAT-P-62 b,2.64532306,,,,,,,2024-03-04,2023-03,2024-03-04
HAT-P-65 b,2.60544724,,,,,,,2024-03-04,2023-03,2024-03-04
HAT-P-66 b,2.97208900,,,,,,,2024-03-04,2023-03,2024-03-04
HAT-P-67 b,4.81010420,,,,,,,2024-03-04,2023-03,2024-03-04
HAT-P-68 b,2.29840555,,,,,,,2024-03-04,2023-03,2024-03-04
HAT-P-69 b,4.78698830,,,,,,,2024-03-04,2023-03,2024-03-04
HAT-P-7 b,2.20473600,,,,,,,2024-03-04,2023-03,2024-03-04
HAT-P-70 b,2.74431939,,,,,,,2024-03-04,2023-03,2024-03-04
HAT-P-8 b,3.07634347,,,,,,,2024-03-04,2023-03,2024-03-04
HAT-P-9 b,3.92281131,,,,,,,2024-03-04,2023-03,2024-03-04
HATS-1 b,3.44645630,,,,,,,2024-03-04,2023-03,2024-03-04
HATS-10 b,3.31282810,,,,,,,2024-03-04,2023-03,2024-03-04
HATS-11 b,3.61915460,,,,,,,2024-03-04,2023-03,2024-03-04
HATS-13 b,3.04405362,,,,,,,2024-03-04,2023-03,2024-03-04
HATS-17 b,16.25468800,,,,,,,2024-03-04,2023-03,2024-03-04
HATS-2 b,1.35413368,,,,,,,2024-03-04,2023-03,2024-03-04
HATS-22 b,4.72281727,,,,,,,2024-03-04,2023-03,2024-03-04
HATS-23 b,2.16051070,,,,,,,2024-03-04,2023-03,2024-03-04
HATS-24 b,1.34849689,,,,,,,2024-03-04,2023-03,2024-03-04
HATS-25 b,4.29864716,,,,,,,2024-03-04,2023-03,2024-03-04
HATS-26 b,3.30239280,,,,,,,2024-03-04,2023-03,2024-03-04
HATS-27 b,4.63704960,,,,,,,2024-03-04,2023-03,2024-03-04
